pair_id,x,y,theta_x,scale,found,score,set,gt_found,x_gt,y_gt,gt_rot,scale_gt,gt_x,gt_y,gt_scale,err,pred_found,loc_credit,s_err,r_err,architecture,severity,num_layers,channels,zoom,theta_y
p032,907.5436,475.3638,0.9443,11.273,1,0.494993,B,1,905.195,474.867,1.1,11.2,905.195,474.867,11.2,2.4005691408496506,1,0.6,0.0065178571428571,0.1557,dram_1x,4,8,1,11.2,1.1
p035,651.2068,83.4142,1.958,10.1005,1,0.220754,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.0,inf,1.958,dram_1x,0,8,1,9.8,2.1
p036,0.0,0.0,0.0,0.0,0,0.167544,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,0.0,dram_dense,2,8,1,8.45,4.2
p037,0.0,0.0,0.0,0.0,0,0.0,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,0.0,dram_wide,1,8,1,12.0,-1.7
p038,0.0,0.0,0.0,0.0,0,0.08218,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,0.0,dram_legacy,0,8,1,10.3,-3.6
p039,0.0,0.0,0.0,0.0,0,0.0,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,0.0,dram_compact,2,8,1,8.0,0.85
p045,605.8294,561.305,2.0033,10.3064,1,0.881672,D,1,605.294,560.68,1.9,10.3,605.294,560.68,10.3,0.8229691124215903,1,1.0,0.0006213592233009,0.1032999999999999,dram_1x,0,8,3,10.3,1.9
p046,909.896,299.0335,-3.6545,8.9727,1,0.864254,D,1,909.785,298.914,-4.0,9.05,909.785,298.914,9.05,0.1630988963788587,1,1.0,0.0085414364640885,0.3454999999999999,finfet_10nm,1,8,3,9.05,-4.0
p023,289.0666,673.3902,-4.0452,11.8118,1,0.558967,B,1,288.497,672.818,-4.4,11.75,288.497,672.818,11.75,0.8073766159606388,1,1.0,0.005259574468085,0.3548,dram_wide,4,8,1,11.75,-4.4
p028,311.4078,471.0555,3.6839,11.3635,1,0.500335,B,1,311.892,470.569,4.1,11.4,311.892,470.569,11.4,0.6863904792463006,1,1.0,0.0032017543859649,0.4160999999999997,finfet_14nm,4,8,1,11.4,4.1
p033,287.1488,222.4367,-3.9803,9.8728,1,0.386719,B,1,286.786,222.409,-3.9,9.85,286.786,222.409,9.85,0.3638559192867355,1,1.0,0.0023147208121827,0.0803000000000002,finfet_10nm,4,8,1,9.85,-3.9
