device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 20000 of 84500 pairs per epoch (9.5 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p4_last.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 0.00015, epoch counter from 0)
resumed from weights/driftsense_p4_last.pt (epoch 0, best 0.442px)
  e0 [50/1250] loss 0.400 focal 0.298 off 0.1025 | batch median err 1.8px | 47.3 img/s | lr 6.02e-06
  e1 [350/1250] loss 0.434 focal 0.319 off 0.1151 | batch median err 1.3px | 75.7 img/s | lr 2.16e-05
  e1 [400/1250] loss 0.433 focal 0.318 off 0.1152 | batch median err 1.3px | 75.7 img/s | lr 2.25e-05
  e1 [450/1250] loss 0.432 focal 0.318 off 0.1144 | batch median err 1.6px | 75.8 img/s | lr 2.35e-05
  e1 [500/1250] loss 0.429 focal 0.316 off 0.1128 | batch median err 1.6px | 75.8 img/s | lr 2.45e-05
  e1 [550/1250] loss 0.427 focal 0.316 off 0.1117 | batch median err 2.1px | 75.8 img/s | lr 2.55e-05
  e1 [600/1250] loss 0.425 focal 0.314 off 0.1117 | batch median err 1.3px | 75.9 img/s | lr 2.66e-05
  e1 [650/1250] loss 0.425 focal 0.313 off 0.1114 | batch median err 1.9px | 75.9 img/s | lr 2.76e-05
  e1 [700/1250] loss 0.422 focal 0.311 off 0.1110 | batch median err 1.3px | 75.9 img/s | lr 2.87e-05
  e1 [750/1250] loss 0.420 focal 0.309 off 0.1105 | batch median err 1.0px | 75.9 img/s | lr 2.98e-05
  e1 [800/1250] loss 0.419 focal 0.309 off 0.1100 | batch median err 1.1px | 75.9 img/s | lr 3.10e-05
  e1 [850/1250] loss 0.422 focal 0.312 off 0.1100 | batch median err 1.3px | 75.9 img/s | lr 3.21e-05
  e1 [900/1250] loss 0.421 focal 0.311 off 0.1100 | batch median err 1.7px | 75.9 img/s | lr 3.33e-05
  e1 [950/1250] loss 0.421 focal 0.311 off 0.1099 | batch median err 1.5px | 75.9 img/s | lr 3.45e-05
  e1 [1000/1250] loss 0.420 focal 0.310 off 0.1098 | batch median err 1.5px | 75.9 img/s | lr 3.57e-05
  e1 [1050/1250] loss 0.420 focal 0.310 off 0.1096 | batch median err 1.2px | 75.9 img/s | lr 3.69e-05
  e1 [1100/1250] loss 0.419 focal 0.309 off 0.1094 | batch median err 1.4px | 75.9 img/s | lr 3.82e-05
  e1 [1150/1250] loss 0.420 focal 0.310 off 0.1092 | batch median err 1.9px | 75.9 img/s | lr 3.94e-05
  e1 [1200/1250] loss 0.418 focal 0.309 off 0.1089 | batch median err 1.3px | 75.9 img/s | lr 4.07e-05
  e1 [1250/1250] loss 0.419 focal 0.310 off 0.1091 | batch median err 1.4px | 76.0 img/s | lr 4.20e-05
epoch 1: loss 0.4189 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e2 [50/1250] loss 0.397 focal 0.287 off 0.1097 | batch median err 3.0px | 71.5 img/s | lr 4.33e-05
  e2 [100/1250] loss 0.415 focal 0.306 off 0.1091 | batch median err 1.9px | 73.8 img/s | lr 4.47e-05
  e2 [150/1250] loss 0.419 focal 0.310 off 0.1092 | batch median err 3.0px | 74.5 img/s | lr 4.60e-05
  e2 [200/1250] loss 0.411 focal 0.302 off 0.1097 | batch median err 1.8px | 74.9 img/s | lr 4.74e-05
  e2 [250/1250] loss 0.414 focal 0.304 off 0.1101 | batch median err 1.1px | 75.1 img/s | lr 4.87e-05
  e2 [300/1250] loss 0.413 focal 0.303 off 0.1093 | batch median err 1.9px | 75.3 img/s | lr 5.01e-05
  e2 [350/1250] loss 0.412 focal 0.302 off 0.1102 | batch median err 1.5px | 75.4 img/s | lr 5.15e-05
  e2 [400/1250] loss 0.410 focal 0.301 off 0.1091 | batch median err 2.7px | 75.5 img/s | lr 5.29e-05
  e2 [450/1250] loss 0.417 focal 0.307 off 0.1099 | batch median err 2.6px | 75.6 img/s | lr 5.43e-05
  e2 [500/1250] loss 0.416 focal 0.307 off 0.1091 | batch median err 1.2px | 75.6 img/s | lr 5.58e-05
  e2 [550/1250] loss 0.418 focal 0.308 off 0.1098 | batch median err 1.8px | 75.7 img/s | lr 5.72e-05
  e2 [600/1250] loss 0.417 focal 0.308 off 0.1096 | batch median err 1.6px | 75.7 img/s | lr 5.86e-05
  e2 [650/1250] loss 0.415 focal 0.306 off 0.1089 | batch median err 1.2px | 75.8 img/s | lr 6.01e-05
  e2 [700/1250] loss 0.414 focal 0.305 off 0.1089 | batch median err 1.1px | 75.8 img/s | lr 6.16e-05
  e2 [750/1250] loss 0.414 focal 0.306 off 0.1086 | batch median err 1.5px | 75.8 img/s | lr 6.30e-05
  e2 [800/1250] loss 0.414 focal 0.306 off 0.1084 | batch median err 2.0px | 75.8 img/s | lr 6.45e-05
  e2 [850/1250] loss 0.411 focal 0.304 off 0.1077 | batch median err 1.6px | 75.8 img/s | lr 6.60e-05
  e2 [900/1250] loss 0.410 focal 0.302 off 0.1076 | batch median err 1.3px | 75.9 img/s | lr 6.75e-05
  e2 [950/1250] loss 0.409 focal 0.302 off 0.1072 | batch median err 1.4px | 75.9 img/s | lr 6.90e-05
  e2 [1000/1250] loss 0.409 focal 0.302 off 0.1072 | batch median err 1.1px | 75.9 img/s | lr 7.05e-05
  e2 [1050/1250] loss 0.409 focal 0.302 off 0.1071 | batch median err 2.8px | 75.9 img/s | lr 7.20e-05
  e2 [1100/1250] loss 0.410 focal 0.303 off 0.1071 | batch median err 44.7px | 75.9 img/s | lr 7.35e-05
  e2 [1150/1250] loss 0.411 focal 0.304 off 0.1070 | batch median err 92.1px | 75.9 img/s | lr 7.50e-05
  e2 [1200/1250] loss 0.412 focal 0.305 off 0.1073 | batch median err 1.7px | 75.9 img/s | lr 7.65e-05
  e2 [1250/1250] loss 0.412 focal 0.304 off 0.1074 | batch median err 1.6px | 76.0 img/s | lr 7.80e-05
epoch 2: loss 0.4117 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e3 [50/1250] loss 0.395 focal 0.295 off 0.1002 | batch median err 1.6px | 71.6 img/s | lr 7.95e-05
  e3 [100/1250] loss 0.404 focal 0.296 off 0.1076 | batch median err 1.8px | 73.9 img/s | lr 8.10e-05
  e3 [150/1250] loss 0.402 focal 0.294 off 0.1075 | batch median err 1.5px | 74.7 img/s | lr 8.25e-05
  e3 [200/1250] loss 0.416 focal 0.306 off 0.1103 | batch median err 1.3px | 75.1 img/s | lr 8.40e-05
  e3 [250/1250] loss 0.423 focal 0.313 off 0.1102 | batch median err 1.6px | 75.3 img/s | lr 8.55e-05
  e3 [300/1250] loss 0.421 focal 0.310 off 0.1105 | batch median err 1.7px | 75.4 img/s | lr 8.70e-05
  e3 [350/1250] loss 0.420 focal 0.308 off 0.1116 | batch median err 1.2px | 75.5 img/s | lr 8.85e-05
  e3 [400/1250] loss 0.421 focal 0.309 off 0.1116 | batch median err 0.9px | 75.6 img/s | lr 9.00e-05
  e3 [450/1250] loss 0.419 focal 0.308 off 0.1104 | batch median err 27.6px | 75.7 img/s | lr 9.15e-05
  e3 [500/1250] loss 0.424 focal 0.313 off 0.1110 | batch median err 2.0px | 75.7 img/s | lr 9.30e-05
  e3 [550/1250] loss 0.424 focal 0.312 off 0.1114 | batch median err 1.7px | 75.8 img/s | lr 9.45e-05
  e3 [600/1250] loss 0.421 focal 0.310 off 0.1109 | batch median err 1.4px | 75.8 img/s | lr 9.59e-05
  e3 [650/1250] loss 0.419 focal 0.308 off 0.1110 | batch median err 2.1px | 75.8 img/s | lr 9.74e-05
  e3 [700/1250] loss 0.419 focal 0.308 off 0.1111 | batch median err 1.4px | 75.9 img/s | lr 9.88e-05
  e3 [750/1250] loss 0.418 focal 0.307 off 0.1112 | batch median err 1.8px | 75.9 img/s | lr 1.00e-04
  e3 [800/1250] loss 0.420 focal 0.308 off 0.1120 | batch median err 1.4px | 75.9 img/s | lr 1.02e-04
  e3 [850/1250] loss 0.417 focal 0.306 off 0.1114 | batch median err 2.3px | 75.9 img/s | lr 1.03e-04
  e3 [900/1250] loss 0.417 focal 0.305 off 0.1117 | batch median err 1.7px | 75.9 img/s | lr 1.05e-04
  e3 [950/1250] loss 0.419 focal 0.307 off 0.1118 | batch median err 1.1px | 75.9 img/s | lr 1.06e-04
  e3 [1000/1250] loss 0.419 focal 0.307 off 0.1114 | batch median err 1.7px | 76.0 img/s | lr 1.07e-04
  e3 [1050/1250] loss 0.419 focal 0.308 off 0.1111 | batch median err 2.1px | 76.0 img/s | lr 1.09e-04
  e3 [1100/1250] loss 0.420 focal 0.309 off 0.1111 | batch median err 1.5px | 76.0 img/s | lr 1.10e-04
  e3 [1150/1250] loss 0.418 focal 0.307 off 0.1110 | batch median err 1.6px | 76.0 img/s | lr 1.11e-04
  e3 [1200/1250] loss 0.418 focal 0.307 off 0.1109 | batch median err 1.1px | 76.0 img/s | lr 1.13e-04
  e3 [1250/1250] loss 0.418 focal 0.307 off 0.1108 | batch median err 1.4px | 76.0 img/s | lr 1.14e-04
epoch 3: loss 0.4176 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e4 [50/1250] loss 0.435 focal 0.320 off 0.1148 | batch median err 1.7px | 71.5 img/s | lr 1.15e-04
  e4 [100/1250] loss 0.407 focal 0.300 off 0.1068 | batch median err 2.4px | 73.8 img/s | lr 1.17e-04
  e4 [150/1250] loss 0.405 focal 0.300 off 0.1044 | batch median err 1.0px | 74.6 img/s | lr 1.18e-04
  e4 [200/1250] loss 0.397 focal 0.293 off 0.1044 | batch median err 1.9px | 75.0 img/s | lr 1.19e-04
  e4 [250/1250] loss 0.402 focal 0.298 off 0.1046 | batch median err 1.5px | 75.3 img/s | lr 1.20e-04
  e4 [300/1250] loss 0.410 focal 0.304 off 0.1059 | batch median err 1.4px | 75.4 img/s | lr 1.22e-04
  e4 [350/1250] loss 0.411 focal 0.304 off 0.1074 | batch median err 1.3px | 75.5 img/s | lr 1.23e-04
  e4 [400/1250] loss 0.410 focal 0.302 off 0.1077 | batch median err 1.3px | 75.6 img/s | lr 1.24e-04
  e4 [450/1250] loss 0.413 focal 0.304 off 0.1090 | batch median err 1.3px | 75.7 img/s | lr 1.25e-04
  e4 [500/1250] loss 0.415 focal 0.305 off 0.1099 | batch median err 1.3px | 75.7 img/s | lr 1.26e-04
  e4 [550/1250] loss 0.410 focal 0.301 off 0.1098 | batch median err 2.1px | 75.8 img/s | lr 1.27e-04
  e4 [600/1250] loss 0.409 focal 0.300 off 0.1095 | batch median err 1.3px | 75.8 img/s | lr 1.28e-04
  e4 [650/1250] loss 0.408 focal 0.298 off 0.1099 | batch median err 1.5px | 75.8 img/s | lr 1.29e-04
  e4 [700/1250] loss 0.408 focal 0.298 off 0.1103 | batch median err 1.3px | 75.8 img/s | lr 1.31e-04
  e4 [750/1250] loss 0.409 focal 0.299 off 0.1099 | batch median err 1.1px | 75.9 img/s | lr 1.32e-04
  e4 [800/1250] loss 0.411 focal 0.301 off 0.1101 | batch median err 1.3px | 75.9 img/s | lr 1.33e-04
  e4 [850/1250] loss 0.414 focal 0.304 off 0.1098 | batch median err 1.5px | 75.9 img/s | lr 1.33e-04
  e4 [900/1250] loss 0.413 focal 0.303 off 0.1099 | batch median err 1.4px | 75.9 img/s | lr 1.34e-04
  e4 [950/1250] loss 0.413 focal 0.304 off 0.1095 | batch median err 1.3px | 75.9 img/s | lr 1.35e-04
  e4 [1000/1250] loss 0.414 focal 0.304 off 0.1097 | batch median err 1.8px | 75.9 img/s | lr 1.36e-04
  e4 [1050/1250] loss 0.413 focal 0.303 off 0.1093 | batch median err 1.4px | 75.9 img/s | lr 1.37e-04
  e4 [1100/1250] loss 0.414 focal 0.305 off 0.1093 | batch median err 1.4px | 76.0 img/s | lr 1.38e-04
  e4 [1150/1250] loss 0.414 focal 0.305 off 0.1091 | batch median err 1.4px | 76.0 img/s | lr 1.39e-04
  e4 [1200/1250] loss 0.415 focal 0.305 off 0.1094 | batch median err 1.2px | 76.0 img/s | lr 1.40e-04
  e4 [1250/1250] loss 0.414 focal 0.304 off 0.1093 | batch median err 1.7px | 76.0 img/s | lr 1.40e-04
epoch 4: loss 0.4135 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e5 [50/1250] loss 0.433 focal 0.323 off 0.1095 | batch median err 0.9px | 71.8 img/s | lr 1.41e-04
  e5 [100/1250] loss 0.408 focal 0.300 off 0.1078 | batch median err 2.0px | 74.0 img/s | lr 1.42e-04
  e5 [150/1250] loss 0.409 focal 0.300 off 0.1087 | batch median err 13.3px | 74.7 img/s | lr 1.43e-04
  e5 [200/1250] loss 0.404 focal 0.296 off 0.1083 | batch median err 1.2px | 75.1 img/s | lr 1.43e-04
  e5 [250/1250] loss 0.404 focal 0.295 off 0.1084 | batch median err 1.4px | 75.3 img/s | lr 1.44e-04
  e5 [300/1250] loss 0.407 focal 0.299 off 0.1077 | batch median err 1.2px | 75.4 img/s | lr 1.44e-04
  e5 [350/1250] loss 0.403 focal 0.296 off 0.1067 | batch median err 1.7px | 75.5 img/s | lr 1.45e-04
  e5 [400/1250] loss 0.403 focal 0.296 off 0.1077 | batch median err 1.3px | 75.6 img/s | lr 1.45e-04
  e5 [450/1250] loss 0.401 focal 0.293 off 0.1079 | batch median err 1.5px | 75.7 img/s | lr 1.46e-04
  e5 [500/1250] loss 0.404 focal 0.297 off 0.1079 | batch median err 1.0px | 75.7 img/s | lr 1.46e-04
  e5 [550/1250] loss 0.403 focal 0.295 off 0.1082 | batch median err 1.2px | 75.8 img/s | lr 1.47e-04
  e5 [600/1250] loss 0.404 focal 0.295 off 0.1085 | batch median err 1.3px | 75.8 img/s | lr 1.47e-04
  e5 [650/1250] loss 0.405 focal 0.297 off 0.1084 | batch median err 2.5px | 75.8 img/s | lr 1.48e-04
  e5 [700/1250] loss 0.404 focal 0.296 off 0.1083 | batch median err 1.4px | 75.9 img/s | lr 1.48e-04
  e5 [750/1250] loss 0.409 focal 0.301 off 0.1089 | batch median err 2.3px | 75.9 img/s | lr 1.48e-04
  e5 [800/1250] loss 0.412 focal 0.303 off 0.1089 | batch median err 1.4px | 75.9 img/s | lr 1.49e-04
  e5 [850/1250] loss 0.413 focal 0.304 off 0.1086 | batch median err 1.1px | 75.9 img/s | lr 1.49e-04
  e5 [900/1250] loss 0.412 focal 0.303 off 0.1088 | batch median err 1.5px | 75.9 img/s | lr 1.49e-04
  e5 [950/1250] loss 0.412 focal 0.303 off 0.1087 | batch median err 1.3px | 75.9 img/s | lr 1.49e-04
  e5 [1000/1250] loss 0.414 focal 0.305 off 0.1092 | batch median err 1.5px | 76.0 img/s | lr 1.50e-04
  e5 [1050/1250] loss 0.414 focal 0.305 off 0.1089 | batch median err 1.4px | 76.0 img/s | lr 1.50e-04
  e5 [1100/1250] loss 0.414 focal 0.305 off 0.1087 | batch median err 2.8px | 76.0 img/s | lr 1.50e-04
  e5 [1150/1250] loss 0.414 focal 0.305 off 0.1088 | batch median err 1.0px | 76.0 img/s | lr 1.50e-04
  e5 [1200/1250] loss 0.414 focal 0.305 off 0.1087 | batch median err 1.9px | 76.0 img/s | lr 1.50e-04
  e5 [1250/1250] loss 0.414 focal 0.305 off 0.1094 | batch median err 1.5px | 76.0 img/s | lr 1.50e-04
epoch 5: loss 0.4143 | val median 0.41px  acc@1 0.667  acc@2 0.917  acc@5 0.917  acc@10 0.917 | 4.5 min
  e6 [50/1250] loss 0.390 focal 0.275 off 0.1151 | batch median err 1.5px | 72.7 img/s | lr 1.50e-04
  e6 [100/1250] loss 0.405 focal 0.291 off 0.1141 | batch median err 2.5px | 74.4 img/s | lr 1.50e-04
  e6 [150/1250] loss 0.408 focal 0.294 off 0.1135 | batch median err 1.1px | 75.0 img/s | lr 1.50e-04
  e6 [200/1250] loss 0.413 focal 0.298 off 0.1153 | batch median err 1.6px | 75.3 img/s | lr 1.50e-04
  e6 [250/1250] loss 0.412 focal 0.300 off 0.1126 | batch median err 1.6px | 75.5 img/s | lr 1.50e-04
  e6 [300/1250] loss 0.410 focal 0.297 off 0.1121 | batch median err 1.4px | 75.6 img/s | lr 1.50e-04
  e6 [350/1250] loss 0.411 focal 0.300 off 0.1113 | batch median err 1.6px | 75.7 img/s | lr 1.50e-04
  e6 [400/1250] loss 0.409 focal 0.298 off 0.1109 | batch median err 1.3px | 75.7 img/s | lr 1.50e-04
  e6 [450/1250] loss 0.408 focal 0.297 off 0.1103 | batch median err 1.7px | 75.8 img/s | lr 1.50e-04
  e6 [500/1250] loss 0.404 focal 0.294 off 0.1100 | batch median err 1.2px | 75.8 img/s | lr 1.50e-04
  e6 [550/1250] loss 0.403 focal 0.294 off 0.1097 | batch median err 2.3px | 75.9 img/s | lr 1.50e-04
  e6 [600/1250] loss 0.406 focal 0.296 off 0.1100 | batch median err 1.6px | 75.9 img/s | lr 1.50e-04
  e6 [650/1250] loss 0.407 focal 0.296 off 0.1108 | batch median err 1.6px | 75.9 img/s | lr 1.50e-04
  e6 [700/1250] loss 0.407 focal 0.296 off 0.1110 | batch median err 3.0px | 75.9 img/s | lr 1.50e-04
  e6 [750/1250] loss 0.409 focal 0.298 off 0.1110 | batch median err 10.1px | 75.9 img/s | lr 1.50e-04
  e6 [800/1250] loss 0.411 focal 0.299 off 0.1113 | batch median err 0.9px | 76.0 img/s | lr 1.50e-04
  e6 [850/1250] loss 0.411 focal 0.300 off 0.1114 | batch median err 0.8px | 76.0 img/s | lr 1.50e-04
  e6 [900/1250] loss 0.412 focal 0.300 off 0.1112 | batch median err 1.7px | 76.0 img/s | lr 1.50e-04
  e6 [950/1250] loss 0.411 focal 0.300 off 0.1106 | batch median err 1.4px | 76.0 img/s | lr 1.50e-04
  e6 [1000/1250] loss 0.409 focal 0.299 off 0.1106 | batch median err 1.4px | 76.0 img/s | lr 1.50e-04
  e6 [1050/1250] loss 0.409 focal 0.299 off 0.1101 | batch median err 1.1px | 76.0 img/s | lr 1.50e-04
  e6 [1100/1250] loss 0.408 focal 0.298 off 0.1098 | batch median err 1.8px | 76.0 img/s | lr 1.50e-04
  e6 [1150/1250] loss 0.409 focal 0.299 off 0.1097 | batch median err 1.6px | 76.0 img/s | lr 1.50e-04
  e6 [1200/1250] loss 0.408 focal 0.298 off 0.1093 | batch median err 1.6px | 76.0 img/s | lr 1.50e-04
  e6 [1250/1250] loss 0.407 focal 0.298 off 0.1091 | batch median err 1.8px | 76.0 img/s | lr 1.50e-04
epoch 6: loss 0.4071 | val median 0.41px  acc@1 0.667  acc@2 0.917  acc@5 0.917  acc@10 0.917 | 4.5 min
  e7 [50/1250] loss 0.407 focal 0.302 off 0.1050 | batch median err 1.1px | 71.5 img/s | lr 1.50e-04
  e7 [100/1250] loss 0.412 focal 0.308 off 0.1044 | batch median err 0.7px | 73.9 img/s | lr 1.50e-04
  e7 [150/1250] loss 0.420 focal 0.314 off 0.1056 | batch median err 1.5px | 74.6 img/s | lr 1.50e-04
  e7 [200/1250] loss 0.422 focal 0.316 off 0.1060 | batch median err 1.5px | 75.0 img/s | lr 1.50e-04
  e7 [250/1250] loss 0.424 focal 0.317 off 0.1070 | batch median err 1.7px | 75.2 img/s | lr 1.50e-04
  e7 [300/1250] loss 0.419 focal 0.312 off 0.1073 | batch median err 1.3px | 75.4 img/s | lr 1.50e-04
  e7 [350/1250] loss 0.419 focal 0.311 off 0.1075 | batch median err 1.0px | 75.5 img/s | lr 1.49e-04
  e7 [400/1250] loss 0.413 focal 0.306 off 0.1079 | batch median err 1.4px | 75.6 img/s | lr 1.49e-04
  e7 [450/1250] loss 0.412 focal 0.304 off 0.1080 | batch median err 1.2px | 75.7 img/s | lr 1.49e-04
  e7 [500/1250] loss 0.414 focal 0.305 off 0.1088 | batch median err 2.0px | 75.7 img/s | lr 1.49e-04
  e7 [550/1250] loss 0.417 focal 0.307 off 0.1095 | batch median err 1.9px | 75.8 img/s | lr 1.49e-04
  e7 [600/1250] loss 0.414 focal 0.305 off 0.1090 | batch median err 2.1px | 75.8 img/s | lr 1.49e-04
  e7 [650/1250] loss 0.410 focal 0.301 off 0.1092 | batch median err 1.1px | 75.8 img/s | lr 1.49e-04
  e7 [700/1250] loss 0.410 focal 0.301 off 0.1089 | batch median err 1.1px | 75.8 img/s | lr 1.49e-04
  e7 [750/1250] loss 0.407 focal 0.299 off 0.1088 | batch median err 1.7px | 75.9 img/s | lr 1.49e-04
  e7 [800/1250] loss 0.404 focal 0.296 off 0.1088 | batch median err 1.0px | 75.9 img/s | lr 1.49e-04
  e7 [850/1250] loss 0.403 focal 0.295 off 0.1083 | batch median err 1.2px | 75.9 img/s | lr 1.49e-04
  e7 [900/1250] loss 0.405 focal 0.296 off 0.1088 | batch median err 1.7px | 75.9 img/s | lr 1.49e-04
  e7 [950/1250] loss 0.404 focal 0.295 off 0.1091 | batch median err 1.2px | 75.9 img/s | lr 1.49e-04
  e7 [1000/1250] loss 0.404 focal 0.295 off 0.1093 | batch median err 1.3px | 75.9 img/s | lr 1.49e-04
  e7 [1050/1250] loss 0.406 focal 0.296 off 0.1095 | batch median err 2.0px | 76.0 img/s | lr 1.49e-04
  e7 [1100/1250] loss 0.408 focal 0.298 off 0.1097 | batch median err 1.3px | 76.0 img/s | lr 1.49e-04
  e7 [1150/1250] loss 0.408 focal 0.299 off 0.1094 | batch median err 2.4px | 76.0 img/s | lr 1.49e-04
  e7 [1200/1250] loss 0.409 focal 0.300 off 0.1094 | batch median err 1.4px | 76.0 img/s | lr 1.49e-04
  e7 [1250/1250] loss 0.410 focal 0.300 off 0.1095 | batch median err 1.4px | 76.0 img/s | lr 1.49e-04
epoch 7: loss 0.4100 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e8 [50/1250] loss 0.364 focal 0.259 off 0.1047 | batch median err 1.7px | 72.0 img/s | lr 1.49e-04
  e8 [100/1250] loss 0.363 focal 0.258 off 0.1051 | batch median err 1.7px | 74.0 img/s | lr 1.49e-04
  e8 [150/1250] loss 0.363 focal 0.257 off 0.1055 | batch median err 3.5px | 74.8 img/s | lr 1.49e-04
  e8 [200/1250] loss 0.377 focal 0.269 off 0.1083 | batch median err 1.5px | 75.1 img/s | lr 1.49e-04
  e8 [250/1250] loss 0.379 focal 0.272 off 0.1072 | batch median err 1.1px | 75.3 img/s | lr 1.48e-04
  e8 [300/1250] loss 0.384 focal 0.277 off 0.1067 | batch median err 1.2px | 75.5 img/s | lr 1.48e-04
  e8 [350/1250] loss 0.386 focal 0.279 off 0.1070 | batch median err 1.2px | 75.6 img/s | lr 1.48e-04
  e8 [400/1250] loss 0.394 focal 0.287 off 0.1072 | batch median err 1.2px | 75.7 img/s | lr 1.48e-04
  e8 [450/1250] loss 0.399 focal 0.292 off 0.1073 | batch median err 1.8px | 75.7 img/s | lr 1.48e-04
  e8 [500/1250] loss 0.402 focal 0.294 off 0.1072 | batch median err 1.3px | 75.8 img/s | lr 1.48e-04
  e8 [550/1250] loss 0.401 focal 0.293 off 0.1076 | batch median err 2.4px | 75.8 img/s | lr 1.48e-04
  e8 [600/1250] loss 0.401 focal 0.293 off 0.1077 | batch median err 1.8px | 75.8 img/s | lr 1.48e-04
