pair_id,set,severity,architecture,source_group,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,secs,pre_x,pre_y
p051,A,0,finfet_7nm,9120656859,1,608.001,580.212,8.77,3.25,608.9776252619922,580.3725985586643,8.73960263328016,3.335757415498276,0.7679604887962341,2.3293455420061946,608.482963245362,580.3725985586643
p052,A,0,finfet_28nm,9120664778,1,282.44,792.847,10.42,2.25,283.3286091685295,793.4201517403126,10.380374507245408,1.9041839335068553,0.9320819973945618,2.5482187079906,283.40060164034367,793.4201517403126
p053,A,0,dram_compact,9120672697,1,434.038,105.337,11.51,3.96,435.0896207988262,105.91003820300102,11.518476209067245,3.956038652002355,0.9232122302055359,2.968517958011944,434.48097422719,105.91003820300102
p054,A,0,finfet_10nm,9120680616,1,283.641,873.041,9.66,4.5,284.71143432706594,873.5756684243679,9.65601762537151,4.462232585005467,0.9055495262145996,2.169523582997499,284.3550129532814,873.5756684243679
p055,A,0,finfet_7nm,9120688535,1,281.246,681.733,8.02,-2.88,282.59723848104477,682.2540424764156,8.03964625197716,-2.7534075285030704,0.8781490921974182,1.8677824170154054,281.32419261336327,682.2540424764156
p056,A,0,finfet_10nm,9120696454,1,293.929,646.209,9.41,-0.4,293.59534642100334,646.7364965081215,9.406116292502734,-0.28390269700277593,0.9540739059448242,2.2993109580129385,293.8520917892456,646.7364965081215
p057,A,0,dram_compact,9120704373,1,259.182,668.017,8.27,-3.77,259.80238139629364,668.6870371550322,8.274415226446148,-4.000621124003029,0.9378559589385986,2.645853833993897,259.4300776720047,668.6870371550322
p058,A,0,dram_dense,9120712292,1,244.512,765.973,10.93,4.5,245.55023131519556,766.4707261584699,10.931363546217778,4.350776405003785,0.8975530862808228,2.686005083989585,245.55023131519556,766.4707261584699
p059,A,0,finfet_7nm,9120720211,1,242.208,569.196,9.43,-1.3,242.7440700829029,569.7832771837711,9.448308530837041,-1.305572809000084,0.9418069124221802,2.1225655840244144,242.7440700829029,569.7832771837711
p060,A,0,dram_loose,9120728130,1,527.408,725.206,10.8,4.75,527.6920599788427,725.1660594195127,10.89010136532617,4.1114561800016824,0.8541589379310608,2.7048269170045387,528.1823094636202,725.1660594195127
p061,A,0,finfet_7nm,9120736049,1,789.431,771.062,11.09,-0.1,790.0627992600203,771.5272885039449,11.085246718898494,-0.2117667420031965,0.8650569915771484,3.099746583000524,789.7345919758081,771.5272885039449
p062,A,0,finfet_22nm,9120743968,1,474.036,549.839,11.35,4.25,474.1599863767624,550.33920969069,11.339416193938378,4.221670111997308,0.8249086737632751,2.602580292004859,474.67132744193077,550.33920969069
p063,A,0,finfet_10nm,9120751887,1,292.303,909.964,9.09,-1.31,293.1021366417408,910.4522012621164,9.107695068743176,-1.3718253929980655,0.9043524265289307,2.2802590829960536,292.81221747398376,910.4522012621164
p064,A,0,dram_wide,9120759806,1,908.764,578.138,9.65,-1.92,909.1332446038723,578.6641070693731,9.642377608042986,-1.7764665159936068,0.9125280976295471,2.3527375829871744,909.1332446038723,578.6641070693731
p065,A,0,dram_dense,9120767725,1,300.018,525.669,9.76,1.57,300.6462748795748,526.1645574569702,9.750806697993452,1.8800293254974345,0.9526097178459167,2.242170957993949,300.09681905806065,526.1645574569702
p066,A,0,finfet_28nm,9120775644,1,281.838,625.642,8.67,1.32,282.1420773714781,626.1759318709373,8.674693536361344,1.22554348350265,0.9234277009963989,3.619347875006497,282.29719483852386,626.1759318709373
p067,A,0,finfet_28nm,9120783563,1,247.301,264.585,8.71,3.91,247.52881391346455,264.9034092128277,8.70448800537318,4.078019326001178,0.8532989025115967,4.881751874985639,247.65670429170132,264.9034092128277
p068,A,0,dram_loose,9120791482,1,829.644,688.802,8.12,-0.29,830.3349852422252,689.3913848102093,8.112624059533204,-0.3580486514986119,0.9609441757202148,1.994662375014741,830.5087124118581,689.3913848102093
p069,A,0,finfet_45nm,9120799401,1,227.706,262.162,9.44,3.7,227.92085329070687,262.6430409103632,9.425199167106037,3.697058314499201,0.9139506220817566,2.414653999992879,228.5634113177657,262.6430409103632
p070,A,0,dram_loose,9120807320,1,260.282,827.633,9.88,1.4,261.0043191462755,828.3190825581551,9.91128310538158,1.4609903369994113,0.8851100206375122,2.285455417004414,261.16426053643227,828.3190825581551
p071,B,1,finfet_22nm,9120815239,1,497.975,360.15,11.13,0.67,497.5166989713907,360.6261233985424,11.122421926823943,0.5730676410041219,0.8835358023643494,3.977611332986271,498.3226666599512,360.6261233985424
p072,B,1,dram_wide,9120823158,1,731.434,217.795,11.34,-2.78,730.955607406795,218.24186693131924,11.344645551893207,-2.930495168499706,0.8269425630569458,3.5212849999952596,731.9173115566373,218.24186693131924
p073,B,2,dram_compact,9120831077,1,812.483,224.914,9.84,4.34,813.394692055881,225.44193835556507,9.844053549105867,4.335757415498276,0.7882012724876404,2.4337242920009885,813.394692055881,225.44193835556507
p074,B,1,dram_compact,9120838996,1,201.998,756.447,11.32,3.19,202.6256581544876,756.94709174335,11.299542786399124,3.5469030334984435,0.8388991355895996,2.952724832983222,202.6256581544876,756.94709174335
p075,B,1,finfet_10nm,9120846915,1,528.258,493.242,10.32,-1.32,529.1275092363358,493.8350856155157,10.332801397783568,-1.305572809000084,0.8365614414215088,2.3888691659958567,528.3892388045788,493.8350856155157
p076,B,4,dram_1x,9120854834,1,715.361,540.319,12.0,-2.0,713.9805221259594,540.969800516963,12.0,-2.208514494500883,0.21769940853118896,3.9965817920165136,715.3817245960236,540.969800516963
p077,B,3,finfet_22nm,9120862753,1,610.817,98.467,9.0,-4.0,608.9409870505333,98.96692669764161,8.975458511627911,-3.8439613479976447,0.5869336128234863,6.645729500014568,610.3086530864239,98.96692669764161
p078,B,4,dram_1x,9120870672,1,893.13,907.328,9.5,-1.0,893.891668215394,907.862835496664,9.607892403005625,-0.9560386520023554,0.4746093451976776,4.395443000015803,893.891668215394,907.862835496664
p079,B,2,finfet_10nm,9120878591,1,830.33,909.964,9.55,-3.3,830.8083452358842,910.6095051541924,9.571354916816382,-3.58421325900429,0.6755166053771973,5.17311470900313,831.7171993106604,910.6095051541924
p080,B,3,finfet_22nm,9120886510,1,549.317,275.752,10.0,2.0,549.7676003277302,276.2887331843376,9.972781440785827,2.15340752850307,0.6084992289543152,4.942026874981821,549.9360388964415,276.2887331843376
p081,B,1,dram_loose,9120894429,1,816.383,758.826,10.43,4.96,817.0228208899498,759.3608292043209,10.458438686844095,4.78947550600286,0.8297818303108215,4.664825625019148,817.0228208899498,759.3608292043209
p082,B,3,dram_dense,9120902348,1,457.279,227.637,11.5,-4.0,457.00923660071567,228.17724995315075,11.44147827626563,-3.7554175279993274,0.7046687602996826,3.414774624980055,458.0081930141896,228.17724995315075
p083,B,3,dram_dense,9120910267,1,514.734,234.247,10.0,4.0,513.8240552544594,234.6835874170065,9.990767445067583,4.043961347997645,0.5608879327774048,6.958358124975348,513.8240552544594,234.6835874170065
p084,B,1,dram_legacy,9120918186,1,305.961,233.264,9.13,-2.77,306.11669029295444,233.68331745266914,9.107695068743176,-2.744271909999159,0.8599516749382019,2.3568917920056265,305.9245620071888,233.68331745266914
p085,B,2,dram_compact,9120926105,1,630.519,641.606,8.43,4.33,631.1469857394695,642.1169291734695,8.44113968679372,4.136378539501304,0.8139286041259766,2.412095125007909,630.6895021796227,642.1169291734695
p086,B,2,dram_loose,9120934024,1,909.642,261.318,9.82,1.53,910.0311561860144,262.02488293498755,9.776621160036937,1.7383885389975604,0.7969703078269958,2.777115082979435,910.0311561860144,262.02488293498755
p087,B,3,dram_1x,9120941943,1,906.458,798.72,10.5,-2.0,907.3600129187107,799.1461151987314,10.484237620787507,-2.2222912360003364,0.6982693672180176,6.362962124985643,908.8351457566023,799.1461151987314
p088,B,2,dram_loose,9120949862,1,280.231,629.849,8.4,-2.92,280.0872797071934,630.3415554314852,8.392584437058186,-2.864863708504753,0.8281559348106384,2.316704041993944,280.2896654754877,630.3415554314852
p089,B,3,dram_loose,9120957781,1,814.626,818.524,10.5,-1.0,813.7838205546141,819.0807787403464,10.502387102795739,-1.170436517504837,0.5424071550369263,4.6631499999784864,815.8034132421017,819.0807787403464
p090,B,1,finfet_7nm,9120965700,1,614.524,909.905,9.26,0.52,615.4787629116327,910.424283862114,9.267588204886238,0.42879573100496304,0.8490627408027649,2.40118079201784,615.4787629116327,910.424283862114
p091,B,1,dram_compact,9120973619,1,490.732,495.486,10.38,-4.41,493.0887291431427,496.0154578089714,10.373592669817812,-4.639320225002103,0.8725796937942505,2.4760036670195404,492.3113888204098,496.0154578089714
p092,B,3,finfet_10nm,9120981538,1,223.697,553.086,10.5,2.0,223.7298667654395,553.398160032928,10.562513695256486,1.8097567425069399,0.4398680031299591,4.563311874982901,223.63594579696655,553.398160032928
p093,B,2,finfet_10nm,9120989457,1,326.189,327.025,8.04,1.33,327.0241928640753,327.52872654795647,8.048260113693223,1.1777087639996635,0.7926716208457947,1.8550209999957588,327.0241928640753,327.52872654795647
p094,B,2,dram_loose,9120997376,1,823.806,540.468,10.05,3.59,825.217834547162,541.1073531210423,10.032544318780957,3.4839026970027756,0.7771402597427368,2.4339600420207717,824.8258814066648,541.1073531210423
p095,B,4,dram_loose,9121005295,1,589.258,908.531,9.5,4.0,589.4798438847065,908.9311299398541,9.4913196601125,4.246592471496929,0.5023131966590881,7.093521624978166,589.2597092688084,908.9311299398541
p096,B,4,dram_wide,9121013214,1,698.134,708.414,8.0,-4.0,698.0298032928258,709.0900628045201,8.0,-4.42592735924775,0.4645834267139435,4.778342207981041,698.0298032928258,709.0900628045201
p097,B,1,finfet_10nm,9121021133,1,750.887,181.419,11.88,-2.31,750.2375429756939,182.00128649664111,11.922913429636466,-2.335757415498276,0.8088042736053467,2.543262249993859,751.0223298557103,182.00128649664111
p098,B,1,dram_loose,9121029052,1,555.655,509.835,10.36,2.49,556.4056077320129,510.3048728108406,10.329894968986649,2.447213595499958,0.8451384902000427,2.56208229099866,555.9795661587268,510.3048728108406
p099,B,2,finfet_14nm,9121036971,1,861.653,447.318,10.15,-0.48,861.4447268992662,447.8722510188818,10.21305274986147,-0.5921066295021451,0.6769289374351501,4.698604625009466,862.2978090047836,447.8722510188818
p100,B,3,dram_wide,9121044890,1,908.457,581.675,10.0,-1.0,908.6270646138582,582.1680312603712,10.015517060481908,-1.1894755060028601,0.6625022888183594,9.758306375006214,909.0018775148783,582.1680312603712
p101,B,2,dram_wide,9121052809,1,615.699,209.801,11.46,-2.22,616.6059832572937,210.24642015993595,11.470888869532367,-2.2328157299974762,0.8345813751220703,2.569177541008685,615.8166950196028,210.24642015993595
p102,B,2,dram_dense,9121060728,1,613.326,909.942,9.25,-0.79,613.6938015669584,910.4515939429402,9.286732224397612,-0.8859126964990325,0.721872866153717,2.2635775830131024,613.6938015669584,910.4515939429402
p103,B,4,dram_loose,9121068647,1,232.264,908.044,9.5,-4.0,233.61892527341843,908.6093229353428,9.55751056438586,-3.8433402239946166,0.5224975943565369,4.0031926250085235,233.24768763780594,908.6093229353428
p104,B,4,dram_wide,9121076566,1,727.495,677.061,8.0,2.0,728.5449180305004,677.2316718101501,8.0,1.8753882025018924,0.4594043493270874,4.679497792007169,728.5449180305004,677.2316718101501
p105,B,2,dram_1x,9121084485,1,303.359,909.937,9.4,1.82,303.5141390832141,910.4279529750347,9.381573710385355,1.5547964039962987,0.7940745949745178,2.2030406669946387,303.5141390832141,910.4279529750347
p106,B,3,dram_1x,9121092404,1,214.559,440.778,11.0,-4.0,215.7531712204218,441.3397444188595,11.046528856787845,-4.155417527999326,0.5569466948509216,6.539658374997089,216.37603841722012,441.3397444188595
p107,B,1,finfet_10nm,9121100323,1,728.131,909.919,11.57,-1.42,728.9955018460751,910.4618503749371,11.573625558861554,-1.4622325850054678,0.8916900157928467,2.558358041977044,729.2913517951965,910.4618503749371
p108,B,3,finfet_45nm,9121108242,1,238.846,734.67,12.0,-1.0,239.2580906972289,735.1394156068563,11.881131490068004,-0.9671842700025238,0.5655678510665894,5.629484000004595,238.17998220026493,735.1394156068563
p109,B,1,dram_legacy,9121116161,1,908.768,910.001,9.35,4.86,909.4866385161877,910.4698657132685,9.355785238686927,4.7878493822517045,0.8626156449317932,2.8207039999833796,909.0658797621727,910.4698657132685
p110,B,1,dram_compact,9121124080,1,247.295,546.673,9.88,-2.83,247.78843303397298,547.198484390974,9.885440183192015,-2.8308057305012198,0.8745555281639099,2.5289817080192734,248.03831842914224,547.198484390974
p111,B,1,dram_1x,9121131999,1,792.212,538.024,10.19,-4.08,793.7400324940681,538.5668014734983,10.208942586886069,-4.121359549995794,0.8563532829284668,2.403841708000982,793.7400324940681,538.5668014734983
p112,B,4,finfet_7nm,9121139918,1,377.736,456.872,11.5,-3.0,378.54978822544217,457.47681098245084,11.536620625220388,-3.0970583144992005,0.3951911926269531,5.507273042021552,378.54978822544217,457.47681098245084
p113,B,3,dram_1x,9121147837,1,222.789,367.056,11.0,1.0,223.86983114480972,367.56528636813164,11.013153682511962,0.48792269599528926,0.63338303565979,4.537399916996947,224.01555812358856,367.56528636813164
p114,B,4,dram_1x,9121155756,1,219.55,710.766,11.5,3.0,219.84161500819027,711.2006121724844,11.560721726118713,2.6662525839979816,0.4384545683860779,5.47234758301056,219.86580882966518,711.2006121724844
p115,B,2,dram_compact,9121163675,1,142.821,326.686,8.25,2.05,143.0140386307612,327.1844284385443,8.24366330947864,1.7756987645034068,0.8203724026679993,2.212514209008077,143.0140386307612,327.1844284385443
p116,B,1,dram_legacy,9121171594,1,238.046,453.283,11.72,3.45,238.82095041126013,453.7578033208847,11.748672143161784,3.7140873035009667,0.8798695206642151,3.158241833996726,238.71110999584198,453.7578033208847
p117,B,1,dram_legacy,9121179513,1,810.465,240.566,10.39,-0.5,810.7386461049318,241.07722382247448,10.3853677106876,-0.6399413490051314,0.8987647891044617,2.076755249989219,811.6851177215576,241.07722382247448
p118,B,3,dram_loose,9121187432,1,695.621,725.902,8.0,1.0,696.2168489396572,726.4990191591205,8.005465512467463,0.6990683139954575,0.6252975463867188,6.328892749996157,695.759585827589,726.4990191591205
p119,B,3,dram_1x,9121195351,1,236.847,569.899,9.5,-3.0,235.74621807038784,570.4911074107513,9.497883238787676,-2.720591798505594,0.5666970014572144,5.612630540999817,235.74621807038784,570.4911074107513
p120,B,4,finfet_10nm,9121203270,1,479.72,526.772,11.0,0.0,480.0687269791961,527.1723497062922,11.121002199412308,-0.1554175279993271,0.4751046597957611,4.730028875026619,480.0687269791961,527.1723497062922
p121,B,2,dram_1x,9121211189,1,902.619,860.303,9.83,-0.24,903.1771602034569,860.8240467756987,9.872783604164221,-0.3134661794979392,0.714368462562561,7.151246208988596,903.1771602034569,860.8240467756987
p122,B,4,finfet_7nm,9121219108,1,820.591,817.815,10.5,0.0,820.0860516130924,818.5585347674787,10.538033988749895,-0.15541752799932698,0.40736791491508484,6.828950790979434,820.0860516130924,818.5585347674787
p123,B,1,dram_compact,9121227027,1,908.731,909.946,9.03,4.12,908.872190926224,910.5616614185274,8.994307166703042,4.314708427503995,0.8403422236442566,3.897267082997132,908.9212183356285,910.5616614185274
p124,B,3,dram_compact,9121234946,1,617.547,909.927,9.0,2.0,618.4210270931944,910.5665127113461,8.982521459306524,1.8648637085047528,0.6892256736755371,3.654700667015277,618.4076601490378,910.5665127113461
p125,B,4,dram_dense,9121242865,1,275.329,627.773,9.0,0.0,275.69346982240677,628.1386838704348,8.99886214604987,-0.1744565164973502,0.47278857231140137,6.218904457986355,275.69346982240677,628.1386838704348
p126,B,4,finfet_14nm,9121250784,1,520.804,221.56,11.0,-2.0,522.009479707107,222.1122216284275,10.989693969037024,-2.244582472000673,0.3694669306278229,3.5091866249858867,522.009479707107,222.1122216284275
p127,B,3,dram_compact,9121258703,1,712.844,692.47,8.0,4.0,716.2096925228834,693.0418683700264,8.037565243270931,4.155417527999327,0.6569399237632751,4.791783041000599,714.3351396918297,693.0418683700264
p128,B,1,dram_compact,9121266622,1,682.487,700.151,8.55,-0.13,682.2538850903511,700.763390108943,8.615192268407357,-0.11408730350096749,0.9016432762145996,2.914262166013941,682.6727584302425,700.763390108943
p129,B,4,dram_compact,9121274541,1,610.47,908.512,9.0,-2.0,611.2708092853427,909.0126269189641,9.11737837125347,-1.9219806739988219,0.4575101137161255,5.538246125011938,610.2211212366819,909.0126269189641
p130,B,2,finfet_45nm,9121282460,1,744.232,364.482,11.27,0.22,746.1575984284282,364.9822663515806,11.273413027033838,0.011145618000168167,0.7330607771873474,2.7073196659912355,745.2583813369274,364.9822663515806
p131,B,2,dram_loose,9121290379,1,505.038,909.979,10.23,-1.74,504.82690389454365,910.5342992953956,10.2662543147007,-2.208514494500883,0.8535493016242981,2.531103583984077,505.344694301486,910.5342992953956
p132,B,1,finfet_45nm,9121298298,1,256.505,817.939,10.26,3.87,257.3544649332762,818.4910737955943,10.273405365124674,3.7193495504995373,0.7862756252288818,2.3316879579797387,256.6082575470209,818.4910737955943
p133,B,2,finfet_10nm,9121306217,1,719.529,89.976,11.13,3.1,720.0934825241566,90.46301594004035,11.136359447854922,2.9337474160020194,0.7654603123664856,2.4385265419841744,719.7205082476139,90.46301594004035
p134,B,2,dram_loose,9121314136,1,523.195,256.888,9.5,4.19,523.7202182561159,257.4329681545496,9.50941489591134,4.458980337503155,0.7579818367958069,2.346056749986019,524.3205763250589,257.4329681545496
